Winner,Total_Turns,P1_Final_HP,P2_Final_HP
KURAWA,18,0,50
KURAWA,22,0,100
PANDAWA,11,40,0
PANDAWA,13,40,0
PANDAWA,15,80,0
KURAWA,20,0,40
KURAWA,20,0,100
KURAWA,18,0,50
KURAWA,20,0,60
KURAWA,20,0,30
KURAWA,18,0,30
PANDAWA,18,40,0
KURAWA,22,0,30
PANDAWA,15,80,0
KURAWA,20,0,90
KURAWA,18,0,70
KURAWA,20,0,40
KURAWA,20,0,40
PANDAWA,18,10,0
KURAWA,18,0,70
KURAWA,20,0,60
KURAWA,18,0,30
KURAWA,22,0,30
KURAWA,18,0,100
KURAWA,18,0,50
KURAWA,20,0,100
KURAWA,20,0,60
KURAWA,20,0,40
KURAWA,18,0,90
KURAWA,24,0,30
KURAWA,22,0,30
PANDAWA,18,40,0
PANDAWA,19,95,0
KURAWA,18,0,110
PANDAWA,18,40,0
KURAWA,18,0,50
KURAWA,22,0,30
PANDAWA,15,60,0
PANDAWA,15,60,0
KURAWA,18,0,30
PANDAWA,19,75,0
KURAWA,20,0,30
KURAWA,18,0,30
KURAWA,18,0,30
KURAWA,20,0,90
KURAWA,20,0,40
PANDAWA,18,40,0
KURAWA,18,0,30
KURAWA,20,0,60
KURAWA,18,0,110
PANDAWA,19,40,0
KURAWA,20,0,60
KURAWA,20,0,90
KURAWA,22,0,30
PANDAWA,15,60,0
KURAWA,18,0,50
KURAWA,18,0,100
KURAWA,18,0,50
KURAWA,18,0,100
KURAWA,18,0,100
KURAWA,18,0,90
KURAWA,18,0,50
KURAWA,20,0,10
PANDAWA,13,40,0
KURAWA,22,0,30
KURAWA,20,0,40
KURAWA,20,0,30
PANDAWA,19,10,0
KURAWA,18,0,50
PANDAWA,19,95,0
PANDAWA,15,80,0
KURAWA,22,0,30
PANDAWA,19,75,0
KURAWA,20,0,70
KURAWA,20,0,60
PANDAWA,15,75,0
KURAWA,22,0,30
KURAWA,18,0,10
PANDAWA,15,60,0
PANDAWA,22,40,0
KURAWA,20,0,10
PANDAWA,19,10,0
KURAWA,20,0,60
KURAWA,20,0,60
KURAWA,18,0,100
PANDAWA,19,40,0
PANDAWA,13,40,0
KURAWA,18,0,10
KURAWA,20,0,40
PANDAWA,19,40,0
PANDAWA,11,40,0
KURAWA,20,0,10
KURAWA,18,0,10
KURAWA,18,0,30
KURAWA,18,0,50
KURAWA,20,0,90
PANDAWA,17,80,0
KURAWA,20,0,40
KURAWA,18,0,100
PANDAWA,15,60,0
